"year","Invånare totalt, antal","Insamlat mat- och restavfall, kg/person","Insamlat förpackningar och returpapper, kg/person","Insamlat grovavfall, kg/person","Insamlat farligt avfall (inkl. elavfall och batterier), kg/person","Insamlat kommunalt avfall totalt, kg/invånare (justerat)"
2013,277349,193,75,200,29,497
2014,278903,199,73,202,27,501
2015,281028,194,75,217,17.5,512.2525691
2016,284531,192,67,200,15.6,485
2017,286165,187,66,215.04,14.7,493.84
2018,287191,191,74,218,26,509
2019,287966,182,71,218,26,497
2020,287676,167,67,242,29,505
2021,288387,174,68,211,25,478
2022,288310,NA,NA,NA,NA,NA
