"kpi","year","value","municipality"
"Total betesmark, hektar",2011,11908,"Region Dalarna"
"Total betesmark, hektar",2012,10584,"Region Dalarna"
"Total betesmark, hektar",2013,11288,"Region Dalarna"
"Total betesmark, hektar",2014,10331,"Region Dalarna"
"Total betesmark, hektar",2015,11192,"Region Dalarna"
"Total betesmark, hektar",2016,11870,"Region Dalarna"
"Total betesmark, hektar",2017,10323,"Region Dalarna"
"Total betesmark, hektar",2018,10518,"Region Dalarna"
"Total betesmark, hektar",2019,10511,"Region Dalarna"
"Total betesmark, hektar",2020,10526,"Region Dalarna"
"Total betesmark, hektar",2021,10458,"Region Dalarna"
