"Kategori","Ar","Producerat","Region"
"Elproduktion av vindkraft inom det geografiska området, MWh",2012,7165230,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2012,542478,"Region Dalarna"
"Elproduktion av vindkraft inom det geografiska området, MWh",2013,9842204,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2013,622863,"Region Dalarna"
"Elproduktion av vindkraft inom det geografiska området, MWh",2014,11234074,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2014,605539,"Region Dalarna"
"Elproduktion av vindkraft inom det geografiska området, MWh",2015,16267698,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2015,941902,"Region Dalarna"
"Elproduktion av vindkraft inom det geografiska området, MWh",2016,15479412,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2016,831507,"Region Dalarna"
"Elproduktion av vindkraft inom det geografiska området, MWh",2017,17608725,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2017,830719,"Region Dalarna"
"Elproduktion av vindkraft inom det geografiska området, MWh",2018,16622762,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2018,735083,"Region Dalarna"
"Elproduktion av vindkraft inom det geografiska området, MWh",2019,19846584,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2019,1129831,"Region Dalarna"
"Elproduktion av vindkraft inom det geografiska området, MWh",2020,27526061,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2020,1493501,"Region Dalarna"
"Elproduktion av vindkraft inom det geografiska området, MWh",2021,27108344,"Riket"
"Elproduktion av vindkraft inom det geografiska området, MWh",2021,1520848,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2012,163460600,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2012,5116452,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2013,150266066,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2013,3630294,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2014,150860126,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2014,4621902,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2015,159366956,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2015,5753101,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2016,152504171,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2016,4519244,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2017,160404363,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2017,4267983,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2018,159286679,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2018,4006046,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2019,164098691,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2019,5286021,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2020,159824055,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2020,5653234,"Region Dalarna"
"Elproduktion totalt inom det geografiska området, MWh",2021,168067640,"Riket"
"Elproduktion totalt inom det geografiska området, MWh",2021,6011283,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2012,78468555,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2012,4303739,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2013,61010920,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2013,2730927,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2014,63373875,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2014,3742835,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2015,NA,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2015,4563269,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2016,NA,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2016,3440936,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2017,NA,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2017,3180541,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2018,61752424,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2018,3042215,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2019,64869157,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2019,3964268,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2020,71858418,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2020,4045994,"Region Dalarna"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2021,73334550,"Riket"
"Elproduktion av vattenkraft inom det geografiska området, MWh",2021,4250384,"Region Dalarna"
