"Produkt","År","Andel"
"Nötkött","2016",0.364462389374182
"Griskött","2016",0.0838545906766401
"Fårkött","2016",0.225532975298482
"Mjölkprodukter","2016",0.470561469194185
"Matpotatis","2016",1.02157535192766
"Nötkött","2017",0.367693056572734
"Griskött","2017",0.0831259593754804
"Fårkött","2017",0.201253203699436
"Mjölkprodukter","2017",0.436078453453191
"Matpotatis","2017",0.965582057462248
"Nötkött","2018",0.400622162809293
"Griskött","2018",0.0815005384123957
"Fårkött","2018",0.262086267342295
"Mjölkprodukter","2018",0.477764305231307
"Matpotatis","2018",0.912151573301525
"Nötkött","2019",0.407959655058768
"Griskött","2019",0.0807588880405616
"Fårkött","2019",0.268715585801631
"Mjölkprodukter","2019",0.468537385709087
"Matpotatis","2019",1.04262042897342
"Nötkött","2020",0.457667868181049
"Griskött","2020",0.0776132508566951
"Fårkött","2020",0.272227273085166
"Mjölkprodukter","2020",0.476951603922458
"Matpotatis","2020",0.989616774480009
