"År","Region","Resor med kollektivtrafik, resor/inv","Marknadsandel för kollektivtrafik, andel (%)"
2010,"Dalarnas län",48,NA
2011,"Dalarnas län",48,9.29064658
2012,"Dalarnas län",48.88993347,8.21736249
2013,"Dalarnas län",35.58378347,10
2014,"Dalarnas län",33.7041,9
2015,"Dalarnas län",36.0035299,7.4348528
2016,"Dalarnas län",37.02935708,9
2017,"Dalarnas län",35.8254853,10.25836038
2018,"Dalarnas län",36.0317698,11.3146969
2019,"Dalarnas län",37.45928339,11.54123614
2020,"Dalarnas län",27.93420376,7.471909
2021,"Dalarnas län",24.9976594,NA
