"year","municipality","Valdeltagande i senaste kommunalvalet, andel (%)","Valdeltagande i senaste regionvalet, andel (%)","Valdeltagande i senaste riksdagsvalet, andel (%)"
1998,"Region Dalarna",78.484196,77.96488,80.341186
1999,"Region Dalarna",78.484196,77.96488,80.341186
2000,"Region Dalarna",78.484196,77.96488,80.341186
2001,"Region Dalarna",78.484196,77.96488,80.341186
2002,"Region Dalarna",76.376798,75.868846,77.763115
2003,"Region Dalarna",76.490291,75.868846,77.763115
2004,"Region Dalarna",76.490291,75.868846,77.763115
2005,"Region Dalarna",76.490291,75.868846,77.763115
2006,"Region Dalarna",78.504012,77.847096,80.481766
2007,"Region Dalarna",78.504012,77.847096,80.481766
2008,"Region Dalarna",78.504012,77.847096,80.481766
2009,"Region Dalarna",78.504012,77.847096,80.481766
2010,"Region Dalarna",81.45616,80.734049,83.81643
2011,"Region Dalarna",81.45616,80.734049,83.81643
2012,"Region Dalarna",81.45616,80.734049,83.81643
2013,"Region Dalarna",81.45616,80.734049,83.81643
2014,"Region Dalarna",84.045743,83.529164,86.176729
2015,"Region Dalarna",84.045743,83.529164,86.176729
2016,"Region Dalarna",84.045743,83.529164,86.176729
2017,"Region Dalarna",84.045743,83.529164,86.176729
2018,"Region Dalarna",85.432961,84.954981,87.615847
2019,"Region Dalarna",85.432961,84.954981,87.615847
2020,"Region Dalarna",85.432961,84.954981,87.615847
2021,"Region Dalarna",85.432961,84.954981,87.615847
2022,"Region Dalarna",NA,82.145709,85.378415
2023,"Region Dalarna",NA,82.145709,85.378415
2024,"Region Dalarna",NA,82.145709,85.378415
2025,"Region Dalarna",NA,82.145709,85.378415
